ID_Cultivo;Nombre;ID_Campo;Campo;ID_Lote;Lote;Actividad;Actividad;Especie;Especie;Has a aplicar;Hectáreas;Puerto;Hectáreas Sembradas;Hectáreas Cosechadas;Puerto;Distancia Puerto;Código Sima;Coordenadas;Activo;ID_Dimension;Dimensión;ID_IT_Dimension;IT_Dimension;Socio;Ciclo;Peso 1000;Densidad;Años Rot/Dir;% E.G.;Antecesor;Pl.Nacidas;Pl.Cosecha;Nitrógeno PPM;Nitrógeno KG;Fosforo PPM;Fosforo KG;Materia Orgánica Sulfato;Materia Orgánica Total;Nitrógeno PPP 0-20;Nitrógeno KG 0-20;Nitrógeno PPP 20-40;Nitrógeno KG 20-40;Nitrógeno PPP 40-60;Nitrógeno KG 40-60;Azufre PPM;Azufre KG;Personal Responsable;Hectáreas Perdidas;Hectáreas No Cosechadas;Responsable;Zona;Categoría de semilla;Rinde Esperado;Es de agricultura intensiva
1294;LA TERESA .11C AVENA 26/27;245;LA TERESA;1165;.11C;89;AVENA;92;AVENA;;39,14;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .11C SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1295;LA TERESA .13 AVENA 26/27;245;LA TERESA;751;.13;89;AVENA;92;AVENA;;24,96;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA .13 SOJA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1296;LA TERESA 135 ARROZ 26/27;245;LA TERESA;1160;135;50;ARROZ;42;ARROZ;;53,42;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 135 ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1297;LA TERESA 137 ARROZ 26/27;245;LA TERESA;1161;137;50;ARROZ;42;ARROZ;;87,95;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 137 ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1298;LA TERESA 138 ARROZ 26/27;245;LA TERESA;892;138;50;ARROZ;42;ARROZ;;43,87;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1299;LA TERESA 139 ARROZ 26/27;245;LA TERESA;893;139;50;ARROZ;42;ARROZ;;38,07;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1300;LA TERESA 140 ARROZ 26/27;245;LA TERESA;1158;140;50;ARROZ;42;ARROZ;;77,71;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 140 ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1301;LA TERESA 142 ARROZ 26/27;245;LA TERESA;1159;142;50;ARROZ;42;ARROZ;;41;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 142 ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1302;LA TERESA 144A ARROZ 26/27;245;LA TERESA;783;144A;50;ARROZ;42;ARROZ;;13,87;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 144A ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1303;LA TERESA 145A ARROZ 26/27;245;LA TERESA;784;145A;50;ARROZ;42;ARROZ;;16,1;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 145A ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1304;LA TERESA 146A ARROZ 26/27;245;LA TERESA;785;146A;50;ARROZ;42;ARROZ;;18,5;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 146A ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
